id_venda,data_venda,id_cliente,id_produto,produto,categoria,valor_venda,quantidade,faturamento,mes
26,2023-03-06,136,15,Placa de Vídeo RTX 4070,Componentes,55.02,3,165.06,2023-03
27,2023-01-23,143,12,Action Figure: Batman,Colecionáveis,2207.99,1,2207.99,2023-01
28,2023-03-12,116,1,Notebook Gamer,Eletrônicos,3396.5,4,13586.0,2023-03
29,2023-03-03,138,1,Notebook Gamer,Eletrônicos,2195.8,1,2195.8,2023-03
30,2023-02-14,119,9,Webcam 4K,Periféricos,4976.81,1,4976.81,2023-02
31,2023-02-15,120,11,Luminária de Mesa LED,Decoração,4044.7,3,12134.099999999999,2023-02
32,2023-02-24,111,14,SSD NVMe 1TB,Componentes,1879.45,1,1879.45,2023-02
33,2023-03-24,123,19,Livro: Duna,Livros,4276.7,1,4276.7,2023-03
34,2023-03-05,149,4,"Monitor Ultrawide 34""",Periféricos,4579.35,1,4579.35,2023-03
35,2023-02-21,125,13,Caneca Star Wars,Decoração,1231.06,3,3693.18,2023-02
36,2023-01-25,112,2,Smartphone Pro,Eletrônicos,3887.54,4,15550.16,2023-01
37,2023-03-25,111,10,Mesa Digitalizadora,Periféricos,281.98,2,563.96,2023-03
38,2023-03-08,117,5,Teclado Mecânico RGB,Periféricos,4079.7,2,8159.4,2023-03
39,2023-02-07,137,12,Action Figure: Batman,Colecionáveis,3751.27,3,11253.81,2023-02
40,2023-02-23,122,15,Placa de Vídeo RTX 4070,Componentes,2767.15,2,5534.3,2023-02
41,2023-03-28,127,13,Caneca Star Wars,Decoração,3945.44,4,15781.76,2023-03
42,2023-03-22,113,12,Action Figure: Batman,Colecionáveis,2834.81,4,11339.24,2023-03
43,2023-02-05,120,4,"Monitor Ultrawide 34""",Periféricos,1732.21,1,1732.21,2023-02
44,2023-01-13,115,15,Placa de Vídeo RTX 4070,Componentes,2631.97,1,2631.97,2023-01
45,2023-03-16,137,18,Livro: O Senhor dos Anéis,Livros,3208.04,3,9624.119999999999,2023-03
46,2023-03-04,111,15,Placa de Vídeo RTX 4070,Componentes,753.66,2,1507.32,2023-03
47,2023-02-17,120,19,Livro: Duna,Livros,4121.3,2,8242.6,2023-02
48,2023-01-01,135,4,"Monitor Ultrawide 34""",Periféricos,3835.24,3,11505.72,2023-01
49,2023-02-04,131,13,Caneca Star Wars,Decoração,3558.07,3,10674.210000000001,2023-02
50,2023-02-27,128,19,Livro: Duna,Livros,731.07,1,731.07,2023-02
51,2023-02-18,143,1,Notebook Gamer,Eletrônicos,410.05,4,1640.2,2023-02
52,2023-03-21,101,13,Caneca Star Wars,Decoração,432.53,3,1297.59,2023-03
53,2023-02-23,106,10,Mesa Digitalizadora,Periféricos,2118.65,1,2118.65,2023-02
54,2023-03-07,132,18,Livro: O Senhor dos Anéis,Livros,719.13,4,2876.52,2023-03
55,2023-03-30,146,11,Luminária de Mesa LED,Decoração,4381.75,4,17527.0,2023-03
56,2023-03-07,139,10,Mesa Digitalizadora,Periféricos,4973.79,4,19895.16,2023-03
57,2023-01-14,147,6,Mouse Gamer Sem Fio,Periféricos,4793.84,1,4793.84,2023-01
58,2023-01-27,117,14,SSD NVMe 1TB,Componentes,1247.8,1,1247.8,2023-01
59,2023-02-23,133,15,Placa de Vídeo RTX 4070,Componentes,312.61,3,937.83,2023-02
60,2023-02-22,143,4,"Monitor Ultrawide 34""",Periféricos,3904.65,4,15618.6,2023-02
61,2023-02-18,138,7,Headset Surround 7.1,Áudio,2850.88,2,5701.76,2023-02
62,2023-02-14,138,10,Mesa Digitalizadora,Periféricos,4908.99,4,19635.96,2023-02
63,2023-01-22,147,8,Livro: A Guerra dos Tronos,Livros,4232.96,4,16931.84,2023-01
64,2023-02-21,103,19,Livro: Duna,Livros,2972.38,4,11889.52,2023-02
65,2023-01-30,134,3,Cadeira Gamer Ergonômica,Móveis,97.49,1,97.49,2023-01
66,2023-01-23,134,19,Livro: Duna,Livros,4192.37,4,16769.48,2023-01
67,2023-01-22,129,10,Mesa Digitalizadora,Periféricos,2441.44,2,4882.88,2023-01
68,2023-01-26,115,10,Mesa Digitalizadora,Periféricos,3405.86,2,6811.72,2023-01
69,2023-01-28,126,3,Cadeira Gamer Ergonômica,Móveis,1018.43,2,2036.86,2023-01
70,2023-01-19,112,9,Webcam 4K,Periféricos,4035.9,3,12107.7,2023-01
71,2023-02-18,124,6,Mouse Gamer Sem Fio,Periféricos,2061.35,3,6184.049999999999,2023-02
72,2023-03-10,123,8,Livro: A Guerra dos Tronos,Livros,871.29,1,871.29,2023-03
73,2023-02-20,139,1,Notebook Gamer,Eletrônicos,615.21,1,615.21,2023-02
74,2023-02-14,126,12,Action Figure: Batman,Colecionáveis,3410.99,2,6821.98,2023-02
75,2023-02-12,128,2,Smartphone Pro,Eletrônicos,3302.98,4,13211.92,2023-02
76,2023-03-10,133,6,Mouse Gamer Sem Fio,Periféricos,3531.04,1,3531.04,2023-03
77,2023-02-02,126,17,Mousepad Gamer XXL,Periféricos,562.27,2,1124.54,2023-02
78,2023-01-10,131,8,Livro: A Guerra dos Tronos,Livros,1240.04,3,3720.12,2023-01
79,2023-02-11,115,1,Notebook Gamer,Eletrônicos,2929.51,3,8788.53,2023-02
80,2023-03-11,146,13,Caneca Star Wars,Decoração,2325.93,2,4651.86,2023-03
81,2023-02-23,134,13,Caneca Star Wars,Decoração,2631.9,1,2631.9,2023-02
82,2023-03-29,111,1,Notebook Gamer,Eletrônicos,2603.06,1,2603.06,2023-03
83,2023-01-31,109,12,Action Figure: Batman,Colecionáveis,3515.32,3,10545.960000000001,2023-01
84,2023-02-26,118,6,Mouse Gamer Sem Fio,Periféricos,4485.8,4,17943.2,2023-02
85,2023-03-01,127,6,Mouse Gamer Sem Fio,Periféricos,1553.11,4,6212.44,2023-03
86,2023-03-07,135,8,Livro: A Guerra dos Tronos,Livros,2599.11,1,2599.11,2023-03
87,2023-03-05,142,7,Headset Surround 7.1,Áudio,3853.96,1,3853.96,2023-03
88,2023-03-17,116,10,Mesa Digitalizadora,Periféricos,3935.51,4,15742.04,2023-03
89,2023-03-29,128,10,Mesa Digitalizadora,Periféricos,2751.98,3,8255.94,2023-03
90,2023-03-03,105,7,Headset Surround 7.1,Áudio,2771.67,4,11086.68,2023-03
91,2023-01-17,106,13,Caneca Star Wars,Decoração,3816.47,2,7632.94,2023-01
92,2023-01-30,124,4,"Monitor Ultrawide 34""",Periféricos,208.2,3,624.5999999999999,2023-01
93,2023-01-17,105,14,SSD NVMe 1TB,Componentes,1149.19,1,1149.19,2023-01
94,2023-03-19,134,1,Notebook Gamer,Eletrônicos,4692.68,2,9385.36,2023-03
95,2023-02-14,113,3,Cadeira Gamer Ergonômica,Móveis,2211.13,1,2211.13,2023-02
96,2023-02-12,133,9,Webcam 4K,Periféricos,332.56,1,332.56,2023-02
97,2023-03-04,124,2,Smartphone Pro,Eletrônicos,3527.63,3,10582.89,2023-03
98,2023-01-15,149,6,Mouse Gamer Sem Fio,Periféricos,813.72,3,2441.16,2023-01
99,2023-01-17,113,9,Webcam 4K,Periféricos,2580.22,1,2580.22,2023-01
100,2023-03-05,101,12,Action Figure: Batman,Colecionáveis,2852.01,2,5704.02,2023-03
101,2023-02-02,130,7,Headset Surround 7.1,Áudio,1753.49,2,3506.98,2023-02
102,2023-01-16,123,18,Livro: O Senhor dos Anéis,Livros,2198.71,4,8794.84,2023-01
103,2023-03-28,101,8,Livro: A Guerra dos Tronos,Livros,4244.37,3,12733.11,2023-03
104,2023-02-03,125,17,Mousepad Gamer XXL,Periféricos,2443.1,4,9772.4,2023-02
105,2023-02-27,143,8,Livro: A Guerra dos Tronos,Livros,1308.5,2,2617.0,2023-02
106,2023-02-05,111,12,Action Figure: Batman,Colecionáveis,3657.82,1,3657.82,2023-02
107,2023-03-13,127,3,Cadeira Gamer Ergonômica,Móveis,1868.93,2,3737.86,2023-03
108,2023-03-28,107,6,Mouse Gamer Sem Fio,Periféricos,3595.22,1,3595.22,2023-03
109,2023-01-24,121,11,Luminária de Mesa LED,Decoração,4656.53,4,18626.12,2023-01
110,2023-02-17,110,10,Mesa Digitalizadora,Periféricos,3500.53,3,10501.59,2023-02
111,2023-01-10,124,7,Headset Surround 7.1,Áudio,3921.99,1,3921.99,2023-01
112,2023-01-26,114,10,Mesa Digitalizadora,Periféricos,1514.34,3,4543.0199999999995,2023-01
113,2023-01-01,115,1,Notebook Gamer,Eletrônicos,4042.19,3,12126.57,2023-01
114,2023-02-16,114,13,Caneca Star Wars,Decoração,348.81,4,1395.24,2023-02
115,2023-03-07,126,8,Livro: A Guerra dos Tronos,Livros,3829.35,3,11488.05,2023-03
116,2023-01-26,143,19,Livro: Duna,Livros,991.78,1,991.78,2023-01
117,2023-01-07,103,10,Mesa Digitalizadora,Periféricos,4726.9,2,9453.8,2023-01
118,2023-03-07,101,11,Luminária de Mesa LED,Decoração,4242.74,2,8485.48,2023-03
119,2023-01-24,128,9,Webcam 4K,Periféricos,800.63,3,2401.89,2023-01
120,2023-03-27,105,17,Mousepad Gamer XXL,Periféricos,772.04,4,3088.16,2023-03
